id,name,slug,photo
1,wallets,wallets,photos/banner/WalletsBanner.png
2,belts,belts,photos/banner/LeatherBeltBanner.png
3,key kedges,key-kedges,photos/banner/KeyBanner.png
4,phone cases,phone-cases,photos/banner/PhoneBanner.png
5,accessories,accessories,photos/banner/AccessoriesBanner.png
6,watch straps,watch-straps,photos/banner/WatchStrapsBanner.png
7,bags,bags,photos/banner/LeatherBagBanner.png
8,bracelets,bracelets,photos/banner/BraceletBanner.png
9,fieldsNotesCovers,fieldsnotescovers,photos/banner/FieldNoteBanner.png
